NUM_/	NUM_-	NUM_COMMA	SPACE	NUM_8	PAGE_UP	INSERT	SHIFT_RIGHT	NUM_9	NUM_-	NUM_/	NUM_*	F6	 F4	T	NUM_9	NUM_7	NUM_+	NUM_2	NUM_4	NUM_1	NUM_3	PAUSE	NUM_8
NUM_*	NUM_ENTER	END	CTRL_LEFT	ALTGR	NUM_7	PAGE_DOWN	L	NUM_6	NUM_+	NUM_3	NUM_LOCK	F7	9	Y	DELETE	NUM_6	NUM_0	ARROW_DOWN	Ø	F12	ARROW_UP	PAGE_UP	ENTER
<>	CTRL_RIGHT	ALTGR	Z	DOT	ENTER	HAT	N	NUM_ENTER	NUM_4	ARROW_DOWN	DELETE	S	E	F1	SHIFT_RIGHT	ARROW_LEFT	CONTEXT	DOT	N	-	HAT	PAGE_DOWN	Æ
2	CTRL_LEFT	ALT	ESC	Ø	G	M	V	NUM_COMMA	ARROW_UP	0	END	P	WIN	Q	*	INSERT	5	COMMA	H	O	F10	NUM_5	P
WIN	0	CAPS_LOCK	F2	U	ALT	H	C	NUM_0	´	D	NUM_2	COMMA	K	TAB	SHIFT_LEFT	BACKSPACE		K	D	J	+	PRINT_SCREEN	SPACE
	NUM_LOCK		F3	F9	X	SHIFT_LEFT	R	ARROW_RIGHT	F11	5	ARROW_LEFT	-	Æ	B		Å		M	T	G	F7	F11	TAB
			6	F10	1	TILDE	PRINT_SCREEN	A	*	7	CONTEXT	NUM_5	NUM_1	BACKSPACE		S		C	1	V	L	ARROW_RIGHT	TILDE
			8	F12	3	4		2	Å	F5	F8		PAUSE	CTRL_RIGHT		R		W	I	B	E	F9	´
								I	J		O					ESC		3	8	A	X	F3	SCROLL_LOCK
								+	W		F					F4		6	9	4	Z	 F1	HOME
								SCROLL_LOCK	CAPS_LOCK							7		Y	F6	F2	Q	F
							HOME		<>							U			F8	F5
